 -- Frame 345 Framerate: 25.2 [Good Framerate]
 -- Frame 346 Framerate: 30.9 [Good Framerate]
 -- Frame 347 Framerate: 42.0 [Very Good Framerate]
 -- Frame 348 Framerate: 32.2 [Good Framerate]
 -- Frame 349 Framerate: 24.2 [Okay Framerate]
 -- Frame 350 Framerate: 31.4 [Good Framerate]
 -- Frame 351 Framerate: 28.3 [Good Framerate]
 -- Frame 352 Framerate: 27.4 [Good Framerate]
 -- Frame 353 Framerate: 31.1 [Good Framerate]
 -- Frame 354 Framerate: 40.9 [Very Good Framerate]
 -- Frame 355 Framerate: 29.7 [Good Framerate]
 -- Frame 356 Framerate: 37.5 [Good Framerate]
 -- Frame 357 Framerate: 29.7 [Good Framerate]
 -- Frame 358 Framerate: 27.8 [Good Framerate]
 -- Frame 359 Framerate: 32.2 [Good Framerate]
 -- Frame 360 Framerate: 27.6 [Good Framerate]
 -- Frame 361 Framerate: 33.5 [Good Framerate]
 -- Frame 362 Framerate: 25.8 [Good Framerate]
 -- Frame 363 Framerate: 28.0 [Good Framerate]
 -- Frame 364 Framerate: 29.7 [Good Framerate]
 -- Frame 365 Framerate: 38.7 [Good Framerate]
 -- Frame 366 Framerate: 28.5 [Good Framerate]
 -- Frame 367 Framerate: 37.3 [Good Framerate]
 -- Frame 368 Framerate: 27.3 [Good Framerate]
 -- Frame 369 Framerate: 9.3 [Very Low Framerate]
 -- Frame 370 Framerate: 17.9 [Low Framerate]
 -- Frame 371 Framerate: 18.3 [Low Framerate]
 -- Frame 372 Framerate: 15.9 [Low Framerate]
 -- Frame 373 Framerate: 13.9 [Low Framerate]
 -- Frame 374 Framerate: 13.9 [Low Framerate]
 -- Frame 375 Framerate: 13.7 [Low Framerate]
 -- Frame 376 Framerate: 11.3 [Low Framerate]
 -- Frame 377 Framerate: 14.4 [Low Framerate]
 -- Frame 378 Framerate: 12.5 [Low Framerate]
 -- Frame 379 Framerate: 12.5 [Low Framerate]
 -- Frame 380 Framerate: 12.8 [Low Framerate]
 -- Frame 381 Framerate: 10.1 [Low Framerate]
 -- Frame 382 Framerate: 14.9 [Low Framerate]
 -- Frame 383 Framerate: 15.1 [Low Framerate]
 -- Frame 384 Framerate: 15.4 [Low Framerate]
 -- Frame 385 Framerate: 14.3 [Low Framerate]
 -- Frame 386 Framerate: 14.2 [Low Framerate]
 -- Frame 387 Framerate: 15.1 [Low Framerate]
 -- Frame 388 Framerate: 15.6 [Low Framerate]
 -- Frame 389 Framerate: 15.5 [Low Framerate]
 -- Frame 390 Framerate: 15.9 [Low Framerate]
 -- Frame 391 Framerate: 12.4 [Low Framerate]
 -- Frame 392 Framerate: 11.5 [Low Framerate]
 -- Frame 393 Framerate: 13.6 [Low Framerate]
 -- Frame 394 Framerate: 12.2 [Low Framerate]
 -- Frame 395 Framerate: 16.2 [Low Framerate]
 -- Frame 396 Framerate: 13.2 [Low Framerate]
