 -- Frame 361 Framerate: 18.3 [Low Framerate]
 -- Frame 362 Framerate: 18.4 [Low Framerate]
 -- Frame 363 Framerate: 18.7 [Low Framerate]
 -- Frame 364 Framerate: 19.8 [Low Framerate]
 -- Frame 365 Framerate: 19.2 [Low Framerate]
 -- Frame 366 Framerate: 17.8 [Low Framerate]
 -- Frame 367 Framerate: 17.8 [Low Framerate]
 -- Frame 368 Framerate: 15.7 [Low Framerate]
 -- Frame 369 Framerate: 13.5 [Low Framerate]
 -- Frame 370 Framerate: 16.5 [Low Framerate]
 -- Frame 371 Framerate: 16.5 [Low Framerate]
 -- Frame 372 Framerate: 12.4 [Low Framerate]
 -- Frame 373 Framerate: 18.0 [Low Framerate]
 -- Frame 374 Framerate: 17.2 [Low Framerate]
 -- Frame 375 Framerate: 17.0 [Low Framerate]
 -- Frame 376 Framerate: 15.5 [Low Framerate]
 -- Frame 377 Framerate: 11.7 [Low Framerate]
 -- Frame 378 Framerate: 11.3 [Low Framerate]
 -- Frame 379 Framerate: 14.7 [Low Framerate]
 -- Frame 380 Framerate: 14.9 [Low Framerate]
 -- Frame 381 Framerate: 15.4 [Low Framerate]
 -- Frame 382 Framerate: 13.9 [Low Framerate]
 -- Frame 383 Framerate: 13.7 [Low Framerate]
 -- Frame 384 Framerate: 12.1 [Low Framerate]
 -- Frame 385 Framerate: 13.8 [Low Framerate]
 -- Frame 386 Framerate: 13.9 [Low Framerate]
 -- Frame 387 Framerate: 13.9 [Low Framerate]
 -- Frame 388 Framerate: 13.6 [Low Framerate]
 -- Frame 389 Framerate: 14.1 [Low Framerate]
 -- Frame 390 Framerate: 13.4 [Low Framerate]
 -- Frame 391 Framerate: 13.5 [Low Framerate]
 -- Frame 392 Framerate: 13.0 [Low Framerate]
 -- Frame 393 Framerate: 13.8 [Low Framerate]
 -- Frame 394 Framerate: 14.0 [Low Framerate]
 -- Frame 395 Framerate: 13.7 [Low Framerate]
 -- Frame 396 Framerate: 13.6 [Low Framerate]
 -- Frame 397 Framerate: 13.8 [Low Framerate]
 -- Frame 398 Framerate: 13.9 [Low Framerate]
 -- Frame 399 Framerate: 13.8 [Low Framerate]
 -- Frame 400 Framerate: 12.9 [Low Framerate]
 -- Frame 401 Framerate: 14.2 [Low Framerate]
 -- Frame 402 Framerate: 14.1 [Low Framerate]
 -- Frame 403 Framerate: 14.5 [Low Framerate]
 -- Frame 404 Framerate: 21.1 [Okay Framerate]
 -- Frame 405 Framerate: 22.1 [Okay Framerate]
 -- Frame 406 Framerate: 20.0 [Okay Framerate]
 -- Frame 407 Framerate: 21.0 [Okay Framerate]
 -- Frame 408 Framerate: 20.7 [Okay Framerate]
 -- Frame 409 Framerate: 19.8 [Low Framerate]
 -- Frame 410 Framerate: 16.7 [Low Framerate]
 -- Frame 411 Framerate: 19.3 [Low Framerate]
 -- Frame 412 Framerate: 20.4 [Okay Framerate]
 -- Frame 413 Framerate: 19.7 [Low Framerate]
 -- Frame 414 Framerate: 19.0 [Low Framerate]
 -- Frame 415 Framerate: 19.4 [Low Framerate]
 -- Frame 416 Framerate: 18.7 [Low Framerate]
 -- Frame 417 Framerate: 18.0 [Low Framerate]
 -- Frame 418 Framerate: 18.4 [Low Framerate]
 -- Frame 419 Framerate: 18.5 [Low Framerate]
 -- Frame 420 Framerate: 15.7 [Low Framerate]
 -- Frame 421 Framerate: 17.5 [Low Framerate]
 -- Frame 422 Framerate: 18.1 [Low Framerate]
 -- Frame 423 Framerate: 18.7 [Low Framerate]
 -- Frame 424 Framerate: 18.9 [Low Framerate]
 -- Frame 425 Framerate: 16.9 [Low Framerate]
 -- Frame 426 Framerate: 18.6 [Low Framerate]
 -- Frame 427 Framerate: 18.5 [Low Framerate]
 -- Frame 428 Framerate: 18.7 [Low Framerate]
 -- Frame 429 Framerate: 15.5 [Low Framerate]
 -- Frame 430 Framerate: 18.7 [Low Framerate]
 -- Frame 431 Framerate: 17.4 [Low Framerate]
 -- Frame 432 Framerate: 19.8 [Low Framerate]
 -- Frame 433 Framerate: 18.2 [Low Framerate]
 -- Frame 434 Framerate: 18.6 [Low Framerate]
 -- Frame 435 Framerate: 20.4 [Okay Framerate]
 -- Frame 436 Framerate: 19.5 [Low Framerate]
 -- Frame 437 Framerate: 18.7 [Low Framerate]
 -- Frame 438 Framerate: 15.8 [Low Framerate]
 -- Frame 439 Framerate: 18.5 [Low Framerate]
 -- Frame 440 Framerate: 15.9 [Low Framerate]
 -- Frame 441 Framerate: 13.7 [Low Framerate]
 -- Frame 442 Framerate: 20.3 [Okay Framerate]
 -- Frame 443 Framerate: 21.7 [Okay Framerate]
 -- Frame 444 Framerate: 19.4 [Low Framerate]
 -- Frame 445 Framerate: 21.3 [Okay Framerate]
 -- Frame 446 Framerate: 20.3 [Okay Framerate]
 -- Frame 447 Framerate: 19.7 [Low Framerate]
 -- Frame 448 Framerate: 14.7 [Low Framerate]
 -- Frame 449 Framerate: 20.1 [Okay Framerate]
 -- Frame 450 Framerate: 20.8 [Okay Framerate]
 -- Frame 451 Framerate: 16.2 [Low Framerate]
 -- Frame 452 Framerate: 17.4 [Low Framerate]
